postulationDate,studyCenter,careerField,careerStatus,careerDegree,studiesNumber
2022-12-26,Universidad Tecnologica Del Peru,Ing. En Sistemas,Graduado,Universitario,1
2022-12-26,Pontificia Universidad Catolica Del Peru,Ing. Industrial,Graduado,Universitario,1
2022-12-26,Cisco - Networking Academy,Otra,Graduado,Otro,6
2023-02-08,Universidad Nacional Pedro Ruiz Gallo,Ing. Informatica,Graduado,Universitario,1
2023-02-06,Universidad Tecnologica Del Peru,Ing. Informatica,Graduado,Universitario,1
2023-02-13,Universidad Esan,Adm. De Empresas,Graduado,Otro,2
2022-04-06,Esan,Tecnologias De La Informacion,En Curso,Otro,9
2022-04-02,Instituto Tecnologico Idat,Otra,Graduado,Otro,3
2022-04-01,Universidad Nacional De Piura,Ing. Industrial,Graduado,Universitario,1
2022-03-31,Universidad Inca Garcilaso De La Vega,Ing. En Sistemas,Graduado,Posgrado,1
2022-03-31,Universitat Ramon Llull,Otra,Graduado,Master,4
2022-03-31,Pontificia Universidad Catolica Del Peru,Finanzas Internacionales,En Curso,Master,10
2022-03-31,Otro,Ing. En Sistemas,Graduado,Posgrado,5
2022-03-31,Universidad Catolica Santo Toribio De Mogrovejo,Ing. En Sistemas,Graduado,Universitario,1
2022-03-31,Universidad Privada Del Norte,Ing. En Sistemas,Graduado,Universitario,2
2022-03-30,Universidad Nacional De Ingenieria,Tecnologias De La Informacion,Graduado,Universitario,1
2022-03-30,Utp,Ing. En Sistemas,Graduado,Universitario,2
